company_name,headquarters,website,revenue,industries
PNCPA,"8550 United Plaza Blvd Ste 1001, Baton Rouge, L...",www.pncpa.com,$70.4 Million,Accounting & Accounting Services ; Business Services 
AP - LSVP,"2200 Sand Hill Rd, Menlo Park, California, 9402...",www.lsvp.com,$22.5 Million,Venture Capital & Private Equity ; Finance 
Y Prime LLC,"9 Great Valley Pkwy, Malvern, Pennsylvania, 193...",www.yprime.com,$72.2 Million,Healthcare Software ; Software Development & Design ; Software 
Winedirect,"450 Green Island Rd, American Canyon, Californi...",www.winedirect.com,$37.4 Million,Management Consulting ; Business Services 
Vesta Corporation,"175 Powder Forest Dr Ste 201, Weatogue, Connect...",www.vestacorp.com,$54.3 Million,Real Estate 
Vertex Education,"3125 S Gilbert Rd, Chandler, Arizona, 85286, Un...",www.vertexeducation.com,$32.8 Million,Management Consulting ; Business Services 
Verano Learning Partners,"13185 W Thomas Rd, Goodyear, Arizona, 85395, Un...",www.verano.org,$8.2 Million,Education General ; Education 
User Zoom Inc.,,,,N/A
Urban Remedy,"208 S Garrard Blvd, Richmond, California, 94801...",www.urbanremedy.com,$68.7 Million,"Food, Beverages & Tobacco ; Manufacturing "
Transtar ACH,"767 Warehouse Rd, Toledo, Ohio, 43615, United S...",www.transtarcorp.com,<$5 Million,Commercial & Residential Construction ; Construction 
Tesla Energy Operations,"36068 Hidden Springs Rd Ste C, Wildomar, Califo...",www.teslaes.com,<$5 Million,Manufacturing General ; Manufacturing 
Strongmind Inc,"2501 N Arizona Ave, Chandler, Arizona, 85225, U...",www.strongmind.com,$61.4 Million,Education General ; Education 
Skyventure Silicon Valley LLC,"5160 N Tumbleweed Rd, Eloy, Arizona, 85131, Uni...",www.skyventureaz.com,<$5 Million,Hospitality General ; Hospitality 
Single Digits,"4 Bedford Farms Dr Ste 210, Bedford, New Hampsh...",www.singledigits.com,$156.7 Million,Cable & Satellite ; Telecommunications 
Serraview America Inc.,"2 Wall St, New York City, New York, 10005, Unit...",www.serraview.com,$39.6 Million,Software General ; Software 
San Mateo County Electrical Workers,"1701 Leslie St, San Mateo, California, 94402, U...",www.ibew617.com,<$5 Million,Membership Organizations ; Organizations 
Sacramento Area Electrical Workers,,,,N/A
Resolve Systems LLC,"300 Orchard City Dr Ste 110, Campbell, Californ...",www.resolve.io,$31.5 Million,Business Services General ; Business Services 
Realty Mogul Co.,"10780 Santa Monica Blvd Ste 140, Los Angeles, C...",www.realtymogul.com,$30 Million,Real Estate 
Perfectserve Inc.,"2160 Lakeside Centre Way, Knoxville, Tennessee,...",www.perfectserve.com,$70.6 Million,Healthcare Software ; Software Development & Design ; Software 
Network for Good Inc.,"1140 Connecticut Ave NW Ste 700, Washington, Di...",www.networkforgood.com,$24.3 Million,Business Intelligence (BI) Software ; Software Development & Design ; Software 
Marshall B. Ketchum University,"2575 Yorba Linda Blvd, Fullerton, California, 9...",www.ketchum.edu,$30.5 Million,Colleges & Universities ; Education 
Lyrical Foods Inc,"3180 Corporate Pl, Hayward, California, 94545, ...",www.kite-hill.com,$42.2 Million,Grocery Retail ; Retail 
Level Access Inc,"1600 Spring Hill Rd Ste 400, Vienna, Virginia, ...",www.levelaccess.com,$48.7 Million,Software & Technical Consulting ; Software 
